antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'market_segment_Groups'}),frozenset({'is_canceled'}),0.16593517044978642,0.37041628277075134,0.1013233939190887,0.6106203624249155,1.6484706283898032,0.039858304900147794,1.6168891654172473
frozenset({'deposit_type_Non Refund'}),frozenset({'is_canceled'}),0.1221794120110562,0.37041628277075134,0.12140045229918754,0.9936244601357374,2.6824535160909386,0.07614320867093602,98.74986756153899
"frozenset({'market_segment_Groups', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.11705335455230756,0.37041628277075134,0.08060139040120613,0.6885867620751343,1.8589538152168568,0.03724292192209356,2.0216986324169928
"frozenset({'deposit_type_Non Refund', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.10778122120780635,0.37041628277075134,0.10758019934667895,0.998134908299658,2.6946302166673335,0.06765628003439125,337.5618030544049
"frozenset({'deposit_type_Non Refund', 'hotel_Resort Hotel'})",frozenset({'is_canceled'}),0.014398190803249854,0.37041628277075134,0.013820252952508586,0.9598603839441536,2.591301809856469,0.008486928636544756,15.684846520537388
"frozenset({'distribution_channel_TA/TO', 'market_segment_Groups'})",frozenset({'is_canceled'}),0.14332021107295417,0.37041628277075134,0.09344166178071865,0.6519782595990884,1.760123109929793,0.040353521949155494,1.8090355979025485
"frozenset({'market_segment_Groups', 'customer_type_Transient'})",frozenset({'is_canceled'}),0.07058380098835748,0.37041628277075134,0.0675433453388056,0.9569241723033108,2.5833750210585267,0.04139795615286773,14.615707947908774
"frozenset({'market_segment_Groups', 'meal_BB'})",frozenset({'is_canceled'}),0.1286874947650557,0.37041628277075134,0.08426166345590083,0.6547774017183026,1.7676798568910126,0.03659372000594838,1.8237036635577257
"frozenset({'reserved_room_type_A', 'market_segment_Groups'})",frozenset({'is_canceled'}),0.1560515956110227,0.37041628277075134,0.0976547449535137,0.6257849820192154,1.6894100263041363,0.039850692986834184,1.6824116803927331
"frozenset({'assigned_room_type_A', 'market_segment_Groups'})",frozenset({'is_canceled'}),0.14117597788759528,0.37041628277075134,0.09644861378674931,0.6831800652625333,1.8443575432275199,0.044154732841100476,1.9871972947376373
"frozenset({'deposit_type_Non Refund', 'market_segment_Groups'})",frozenset({'is_canceled'}),0.07682385459418711,0.37041628277075134,0.076304548119608,0.9932402965547318,2.6814164029863745,0.04784774147270851,93.1377718455913
"frozenset({'deposit_type_Non Refund', 'market_segment_Offline TA/TO'})",frozenset({'is_canceled'}),0.041929809866823015,0.37041628277075134,0.041904682134182095,0.9994007191370357,2.6980474823121083,0.026373197826029142,1050.5653628167083
"frozenset({'distribution_channel_TA/TO', 'deposit_type_Non Refund'})",frozenset({'is_canceled'}),0.11433955942708769,0.37041628277075134,0.11389563615043136,0.9961175005494103,2.6891838908871675,0.07154240157380412,162.15938346974414
"frozenset({'deposit_type_Non Refund', 'customer_type_Transient'})",frozenset({'is_canceled'}),0.10812463355389898,0.37041628277075134,0.10812463355389898,1.0,2.6996653400868307,0.06807350871691406,inf
"frozenset({'deposit_type_Non Refund', 'meal_BB'})",frozenset({'is_canceled'}),0.10413769997487227,0.37041628277075134,0.10381103945054025,0.9968631866806081,2.6911969938901454,0.0652367397295523,200.70806041824216
"frozenset({'deposit_type_Non Refund', 'meal_HB'})",frozenset({'is_canceled'}),0.014289303961805846,0.37041628277075134,0.013887260239551051,0.9718640093786636,2.6237075813974005,0.008594269382637559,22.376454616522906
"frozenset({'reserved_room_type_A', 'deposit_type_Non Refund'})",frozenset({'is_canceled'}),0.11944048915319541,0.37041628277075134,0.11880391992629198,0.9946704067321178,2.685277221864769,0.07456121792184509,118.12978694327758
"frozenset({'deposit_type_Non Refund', 'assigned_room_type_A'})",frozenset({'is_canceled'}),0.11873691263924951,0.37041628277075134,0.11819247843202949,0.9954147855530474,2.6872867955675273,0.07421039262452324,137.30736577602832
"frozenset({'distribution_channel_TA/TO', 'market_segment_Groups', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.11356059971521903,0.37041628277075134,0.07907697462099003,0.6963416433102227,1.879889399303715,0.037012279405261354,2.073329132425104
"frozenset({'market_segment_Groups', 'hotel_City Hotel', 'customer_type_Transient'})",frozenset({'is_canceled'}),0.057056704916659685,0.37041628277075134,0.05547365776028143,0.972254844392249,2.6247627051372695,0.0343389252179047,22.69166286648487
"frozenset({'market_segment_Groups', 'meal_BB', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.10669235279336628,0.37041628277075134,0.07557584387302119,0.7083529596482964,1.912315933710431,0.03605525915123686,2.158718005401391
"frozenset({'reserved_room_type_A', 'market_segment_Groups', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.11590585476170534,0.37041628277075134,0.08013233939190886,0.691357132533603,1.8664328883227852,0.03719892351971138,2.0398453474639053
"frozenset({'assigned_room_type_A', 'market_segment_Groups', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.10835078314766731,0.37041628277075134,0.07952927380852667,0.7339981447124303,1.9815493509681859,0.03939437947966798,2.366839571658691
"frozenset({'deposit_type_Non Refund', 'market_segment_Groups', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.06415947734316108,0.37041628277075134,0.06412597369963983,0.9994778067885116,2.698255593172947,0.040360258597671866,1205.6528184936976
"frozenset({'market_segment_Offline TA/TO', 'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.07822263171119859,0.37041628277075134,0.043353714716475415,0.5542349287932327,1.4962488275285828,0.01437877824946774,1.4123666430948723
"frozenset({'market_segment_Offline TA/TO', 'assigned_room_type_A', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.11327581874528855,0.37041628277075134,0.05765977050004188,0.5090209997042295,1.3741863502778573,0.015700562792598703,1.2823027397301745
"frozenset({'deposit_type_Non Refund', 'market_segment_Offline TA/TO', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.040665047323896475,0.37041628277075134,0.04065667141301617,0.9997940267765191,2.699109281314413,0.025593675744601745,3056.628947148315
"frozenset({'distribution_channel_TA/TO', 'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.42594857190719493,0.37041628277075134,0.21337632967585224,0.5009438785542927,1.3523808262616905,0.05559804301847901,1.261548932423508
"frozenset({'distribution_channel_TA/TO', 'assigned_room_type_A', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.42244744115922606,0.37041628277075134,0.2130077895971187,0.5042231739233881,1.3612338263095447,0.056526378776902475,1.269893395807814
"frozenset({'distribution_channel_TA/TO', 'deposit_type_Non Refund', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.10422983499455565,0.37041628277075134,0.10420470726191473,0.9997589199614273,2.699014504662509,0.06559627922942265,2611.5132590680173
"frozenset({'meal_HB', 'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.022908116257643017,0.37041628277075134,0.012111567132925705,0.5287020109689214,1.4273184942470045,0.0036260278634893638,1.335850633531416
"frozenset({'assigned_room_type_A', 'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.3448613786749309,0.37041628277075134,0.17909372644275065,0.519320914191339,1.4019926724245648,0.0513514564827863,1.3097797175220987
"frozenset({'deposit_type_Non Refund', 'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.09456403383867995,0.37041628277075134,0.09456403383867995,1.0,2.6996653400868307,0.05953597594034858,inf
"frozenset({'deposit_type_Non Refund', 'meal_BB', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.09759611357735154,0.37041628277075134,0.09739509171622414,0.9979402677651905,2.694104752362656,0.06124390211202953,305.66289471479854
"frozenset({'deposit_type_Non Refund', 'meal_HB', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.010134852165172962,0.37041628277075134,0.010134852165172962,1.0,2.6996653400868307,0.0063807378997184925,inf
"frozenset({'reserved_room_type_A', 'deposit_type_Non Refund', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.1070190133176983,0.37041628277075134,0.10694363011977552,0.9992956092979572,2.697763720922646,0.0673020450208402,893.7990172264269
"frozenset({'deposit_type_Non Refund', 'assigned_room_type_A', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.1067258564368875,0.37041628277075134,0.10667560097160567,0.9995291163082719,2.6983941117050603,0.06714260595472893,1337.0259541559794
"frozenset({'market_segment_Groups', 'hotel_Resort Hotel', 'customer_type_Transient'})",frozenset({'is_canceled'}),0.013527096071697798,0.37041628277075134,0.012069687578524165,0.8922600619195047,2.408803563507816,0.007059030934963034,5.843550019110557
"frozenset({'assigned_room_type_A', 'market_segment_Groups', 'hotel_Resort Hotel'})",frozenset({'is_canceled'}),0.03282519473992797,0.37041628277075134,0.016919339978222633,0.5154376116356214,1.3915090551098235,0.004760353361432495,1.2992830899533574
"frozenset({'deposit_type_Non Refund', 'market_segment_Groups', 'hotel_Resort Hotel'})",frozenset({'is_canceled'}),0.01266437725102605,0.37041628277075134,0.012178574419968172,0.9616402116402116,2.5961067489988436,0.007487482875036636,16.412596214665925
"frozenset({'deposit_type_Non Refund', 'customer_type_Transient', 'hotel_Resort Hotel'})",frozenset({'is_canceled'}),0.01356059971521903,0.37041628277075134,0.01356059971521903,1.0,2.6996653400868307,0.008537532776565488,inf
"frozenset({'reserved_room_type_A', 'deposit_type_Non Refund', 'hotel_Resort Hotel'})",frozenset({'is_canceled'}),0.01242147583549711,0.37041628277075134,0.011860289806516459,0.9548213081591369,2.5776979916135887,0.0072591729010049065,13.935412726133974
"frozenset({'deposit_type_Non Refund', 'assigned_room_type_A', 'hotel_Resort Hotel'})",frozenset({'is_canceled'}),0.012011056202362006,0.37041628277075134,0.01151687746042382,0.9588563458856346,2.5885912431097573,0.007067786669794309,15.302085601809209
"frozenset({'distribution_channel_TA/TO', 'market_segment_Groups', 'customer_type_Transient'})",frozenset({'is_canceled'}),0.06344752491833487,0.37041628277075134,0.062266521484211405,0.9813861386138613,2.6494141436574914,0.03876452515295718,33.82338055327323
"frozenset({'distribution_channel_TA/TO', 'market_segment_Groups', 'meal_BB'})",frozenset({'is_canceled'}),0.11359410335874026,0.37041628277075134,0.07952927380852667,0.7001179766996019,1.8900842356676344,0.03745216829770558,2.099438006654308
"frozenset({'reserved_room_type_A', 'distribution_channel_TA/TO', 'market_segment_Groups'})",frozenset({'is_canceled'}),0.13787586900075383,0.37041628277075134,0.09154870592176899,0.6639936820363282,1.792560729430111,0.04047723904272269,1.8737258306473803
"frozenset({'distribution_channel_TA/TO', 'assigned_room_type_A', 'market_segment_Groups'})",frozenset({'is_canceled'}),0.12694530530195158,0.37041628277075134,0.09045146159644861,0.7125230931644233,1.9235738986274533,0.04342885349130155,2.190032320019851
"frozenset({'distribution_channel_TA/TO', 'market_segment_Groups', 'deposit_type_Non Refund'})",frozenset({'is_canceled'}),0.07144651980902923,0.37041628277075134,0.07105285199765475,0.9944900351699884,2.6847902790101505,0.04458789771308729,114.26274697799072
"frozenset({'market_segment_Groups', 'meal_BB', 'customer_type_Transient'})",frozenset({'is_canceled'}),0.05972862048747801,0.37041628277075134,0.057215847223385546,0.9579301640723602,2.5860908621698417,0.035091393647389,14.965204958539271
"frozenset({'reserved_room_type_A', 'market_segment_Groups', 'customer_type_Transient'})",frozenset({'is_canceled'}),0.06823017003099087,0.37041628277075134,0.06555825446017255,0.9608396759145594,2.5939455704467993,0.04028468850447659,16.077081381032848
"frozenset({'assigned_room_type_A', 'market_segment_Groups', 'customer_type_Transient'})",frozenset({'is_canceled'}),0.06689840020102186,0.37041628277075134,0.06516458664879805,0.9740828846876173,2.629697802162957,0.04038432992302545,24.29219878990333
"frozenset({'deposit_type_Non Refund', 'market_segment_Groups', 'customer_type_Transient'})",frozenset({'is_canceled'}),0.06670575425077477,0.37041628277075134,0.06670575425077477,1.0,2.6996653400868307,0.041996856721783535,inf
"frozenset({'reserved_room_type_A', 'market_segment_Groups', 'meal_BB'})",frozenset({'is_canceled'}),0.12330178406901751,0.37041628277075134,0.08228494848814809,0.6673459683445417,1.8016107805864425,0.03661195997430078,1.8926081072762442
"frozenset({'assigned_room_type_A', 'market_segment_Groups', 'meal_BB'})",frozenset({'is_canceled'}),0.11284027137951252,0.37041628277075134,0.08153111650892035,0.7225356294536818,1.950604395813926,0.03973324263767852,2.269061487028475
"frozenset({'deposit_type_Non Refund', 'market_segment_Groups', 'meal_BB'})",frozenset({'is_canceled'}),0.06556663037105286,0.37041628277075134,0.06544936761872854,0.9982115482881961,2.6948371189880547,0.04116242012287929,352.0272384621668
"frozenset({'reserved_room_type_A', 'assigned_room_type_A', 'market_segment_Groups'})",frozenset({'is_canceled'}),0.14114247424407406,0.37041628277075134,0.09644861378674931,0.6833422348822028,1.8447953469289569,0.04416714313619288,1.9882149960701028
"frozenset({'reserved_room_type_A', 'deposit_type_Non Refund', 'market_segment_Groups'})",frozenset({'is_canceled'}),0.07483038780467376,0.37041628277075134,0.07431945724097495,0.9931721513319901,2.6812324336904463,0.046601063152073935,92.20821196272247
"frozenset({'deposit_type_Non Refund', 'assigned_room_type_A', 'market_segment_Groups'})",frozenset({'is_canceled'}),0.07437808861713711,0.37041628277075134,0.07395091716224139,0.9942567567567567,2.684160505363359,0.04640006205708793,109.621635470504
